id,guid,published_on,imageurl,title,url,body,tags,lang,upvotes,downvotes,categories,source_info,source,date
35817669,https://en.coin-turk.com/?p=172411,1730930755,https://resources.cryptocompare.com/news/79/35817669.jpeg,JPMorgan Updates Its Blockchain Platform by Renaming It to Kinexys,https://en.coin-turk.com/jpmorgan-updates-its-blockchain-platform-by-renaming-it-to-kinexys/,"JPMorgan renamed its blockchain platform from Onyx to Kinexys, reflecting new strategies. The platform will introduce currency exchange capabilities by early 2025. Continue Reading: JPMorgan Updates Its Blockchain Platform by Renaming It to Kinexys The post JPMorgan Updates Its Blockchain Platform by Renaming It to Kinexys appeared first on COINTURK NEWS .",Blockchain News,EN,0,0,BLOCKCHAIN|EXCHANGE,"{'name': 'CoinTurk News', 'img': 'https://resources.cryptocompare.com/news/79/default.png', 'lang': 'EN'}",cointurken,2024-11-06 22:05:55
35818451,https://www.cryptopolitan.com/?p=610228,1730931018,https://resources.cryptocompare.com/news/43/35818451.jpeg,"GTA 6 release in Trump’s presidency, Dan Houser’s fear becomes true",https://www.cryptopolitan.com/gta-6-release-in-trumps-presidency-dan-housers-fear-becomes-true/,"In 2018, Rockstar’s co-founder Dan Houser casually took a sigh of relief that GTA 6 wouldn’t be released during the chaotic presidency of Trump. However, 6 years ahead, the story has changed with Trump’s comeback. The GTA series goes well with satirizing American culture. However according to the co-founder of Rockstar Games, Dan Houser it",Gaming|GTA|GTA 6,EN,0,0,OTHER,"{'name': 'Cryptopolitan', 'img': 'https://images.cryptocompare.com/news/default/cryptopolitan.png', 'lang': 'EN'}",cryptopolitan,2024-11-06 22:10:18
35817977,https://decrypt.co/?p=290487,1730931146,https://resources.cryptocompare.com/news/44/35817977.jpeg,"JP Morgan Rebrands Blockchain Platform, Plans On-Chain Foreign Exchange Services",https://decrypt.co/290487/jp-morgan-rebrands-blockchain-kinexys,"Previously called Onyx, JP Morgan has refreshed its network under the Kinexys name as it rolls out new infrastructure and capabilities.",Business,EN,0,0,BLOCKCHAIN|EXCHANGE|BUSINESS,"{'name': 'Decrypt', 'img': 'https://images.cryptocompare.com/news/default/decrypt.png', 'lang': 'EN'}",decrypt,2024-11-06 22:12:26
35818500,https://cryptonews.com/?p=303966,1730931301,https://resources.cryptocompare.com/news/52/35818500.jpeg,Pepe Coin Gets Robinhood Support – Will PEPE Soar Like Dogecoin?,https://cryptonews.com/news/pepe-coin-gets-robinhood-support-will-pepe-soar-like-dogecoin/,"Pepe Coin (PEPE) is perking up on Wednesday, as crypto markets pump hard in wake of Donald Trump’s landslide victory in the US presidential election, with news of Robinhood expanding support another positive for the token. The post Pepe Coin Gets Robinhood Support – Will PEPE Soar Like Dogecoin? appeared first on Cryptonews .",Industry Talk|Meme coin|Pepe|pepe coin,EN,0,0,PEPE|DOGE|MARKET,"{'name': 'cryptonews', 'img': 'https://images.cryptocompare.com/news/default/cryptonews.png', 'lang': 'EN'}",cryptonews,2024-11-06 22:15:01
35818066,https://en.coinotag.com/bitcoin-price-forecast-could-btc-approach-1-million-during-trumps-second-term/,1730931387,https://resources.cryptocompare.com/news/77/default.png,Bitcoin Price Forecast: Could BTC Approach $1 Million During Trump’s Second Term?,https://en.coinotag.com/bitcoin-price-forecast-could-btc-approach-1-million-during-trumps-second-term/,"Bitcoin’s trajectory may see it reach unprecedented heights during Donald Trump’s anticipated second term, with forecasts suggesting a potential surge to $1 million per coin. Historical performance indicates that Bitcoin",Bitcoin|News,EN,0,0,BTC|TRADING,"{'name': 'CoinOtag', 'img': 'https://resources.cryptocompare.com/news/77/default.png', 'lang': 'EN'}",coinotag,2024-11-06 22:16:27
35818250,https://decrypt.co/?p=290462,1730931438,https://resources.cryptocompare.com/news/44/35818250.jpeg,AI is Boosting Developer Ranks Not Replacing Jobs: GitHub,https://decrypt.co/290462/ai-boosting-developer-ranks-not-replacing-jobs-github,"Despite predictions of AI eliminating coding jobs, GitHub's 2024 report reveals record-breaking growth and development.",Artificial Intelligence,EN,0,0,OTHER,"{'name': 'Decrypt', 'img': 'https://images.cryptocompare.com/news/default/decrypt.png', 'lang': 'EN'}",decrypt,2024-11-06 22:17:18
35818353,https://thedefiant.io/news/markets/defi-tokens-outperform-amid-broad-crypto-rally,1730931553,https://resources.cryptocompare.com/news/101/35818353.jpeg,DeFi Tokens Outperform Amid Broad Crypto Rally,https://thedefiant.io/news/markets/defi-tokens-outperform-amid-broad-crypto-rally,Uniswap and Lido are today’s top gainers among the Top 100 digital assets.,,EN,0,0,TRADING|UNI,"{'name': 'The Defiant', 'img': 'https://resources.cryptocompare.com/news/101/default.png', 'lang': 'EN'}",thedefiant,2024-11-06 22:19:13
35818224,https://cryptopotato.com/?p=369448,1730931587,https://resources.cryptocompare.com/news/27/35818224.jpeg,Major Boost for Crypto as Pro-Blockchain Candidates Dominate 2024 Election Races,https://cryptopotato.com/major-boost-for-crypto-as-pro-blockchain-candidates-dominate-2024-election-races/,"As the final votes come in, over 250 pro-crypto candidates are projected to win, signifying a new era for digital assets legislation.",AA News|Crypto News|Crypto|United States,EN,0,0,REGULATION,"{'name': 'Crypto Potato', 'img': 'https://images.cryptocompare.com/news/default/cryptopotato.png', 'lang': 'EN'}",cryptopotato,2024-11-06 22:19:47
35818399,https://en.coinotag.com/avalanche-foundation-completes-avax-token-buyback-amid-ongoing-recovery-from-terras-collapse/,1730931627,https://resources.cryptocompare.com/news/77/35818399.jpeg,Avalanche Foundation Completes AVAX Token Buyback Amid Ongoing Recovery from Terra’s Collapse,https://en.coinotag.com/avalanche-foundation-completes-avax-token-buyback-amid-ongoing-recovery-from-terras-collapse/,"The Avalanche Foundation has officially concluded its dealings with the embattled Terra blockchain, marking a significant milestone in the aftermath of its collapse. After a tumultuous two-year relationship, the foundation",News|AVAX|LUNA,EN,0,0,AVAX|LUNA|BLOCKCHAIN,"{'name': 'CoinOtag', 'img': 'https://resources.cryptocompare.com/news/77/default.png', 'lang': 'EN'}",coinotag,2024-11-06 22:20:27
35818415,https://cryptobriefing.com/?p=153289,1730931778,https://images.cryptocompare.com/news/default/cryptobriefing.png,Coinbase CEO Brian Armstrong calls Trump’s win a victory for crypto and economic freedom,https://cryptobriefing.com/crypto-election-victory-trump-win/,"Coinbase CEO Brian Armstrong views Trump's win as a crypto election victory, highlighting increased political support for digital assets. The post Coinbase CEO Brian Armstrong calls Trump’s win a victory for crypto and economic freedom appeared first on Crypto Briefing .",Markets,EN,0,0,EXCHANGE|MARKET,"{'name': 'Crypto Briefing', 'img': 'https://images.cryptocompare.com/news/default/cryptobriefing.png', 'lang': 'EN'}",cryptobriefing,2024-11-06 22:22:58
