id,guid,published_on,imageurl,title,url,body,tags,lang,upvotes,downvotes,categories,source_info,source,date
34317082,https://cryptobriefing.com/?p=149944,1728078197,https://images.cryptocompare.com/news/default/cryptobriefing.png,Bitcoin whale transfers $3.6 million to Kraken after 15 years of dormancy,https://cryptobriefing.com/bitcoin-whale-transfer-kraken/,"A Satoshi-era bitcoin whale transferred $3.6M in BTC to Kraken after 15 years of dormancy, following another whale's $16M move days earlier. The post Bitcoin whale transfers $3.6 million to Kraken after 15 years of dormancy appeared first on Crypto Briefing .",Bitcoin,EN,0,0,BTC|EXCHANGE,"{'name': 'Crypto Briefing', 'img': 'https://images.cryptocompare.com/news/default/cryptobriefing.png', 'lang': 'EN'}",cryptobriefing,2024-10-04 21:43:17
34317107,https://www.cryptonewsz.com/lee-sassaman-bitcoin-satoshi-nakamoto/,1728078228,https://images.cryptocompare.com/news/default/cryptonewsz.png,Who is Lee Sassaman? Bitcoin’s Satoshi Nakamoto Mystery in Spotlight,https://www.cryptonewsz.com/lee-sassaman-bitcoin-satoshi-nakamoto/,"The release date for HBO’s documentary “Money Electric: The Bitcoin Mystery” is drawing closer. Thus, the community has…",,EN,0,0,BTC,"{'name': 'CryptoNewsZ', 'img': 'https://images.cryptocompare.com/news/default/cryptonewsz.png', 'lang': 'EN'}",cryptonewsz,2024-10-04 21:43:48
34317339,https://cointelegraph.com/news/ai-chatbots-getting-worse-over-time-academic-paper,1728078692,https://images.cryptocompare.com/news/default/cointelegraph.png,AI chatbots are getting worse over time — academic paper,https://cointelegraph.com/news/ai-chatbots-getting-worse-over-time-academic-paper?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,A dwindling consumer interest in chatbots caused a drop in AI-sector revenues during the second business quarter of 2024.,AI|AI chatbots|Large language models|LLM|AI hallucination|model collapse,EN,0,0,BUSINESS,"{'name': 'CoinTelegraph', 'img': 'https://images.cryptocompare.com/news/default/cointelegraph.png', 'lang': 'EN'}",cointelegraph,2024-10-04 21:51:32
34317560,https://www.cryptopolitan.com/?p=596859,1728078933,https://resources.cryptocompare.com/news/43/34317560.jpeg,Solana plummets after failing $161 breakoutᅳIs a bigger crash coming?,https://www.cryptopolitan.com/solana-plummets-after-failing-161-breakout/,Solana's (SOL) value is struggling to gain traction after failing to break over the critical $161 resistance level in the past two months.,News|BTC|ETH|SOL,EN,0,0,SOL|BTC|ETH,"{'name': 'Cryptopolitan', 'img': 'https://images.cryptocompare.com/news/default/cryptopolitan.png', 'lang': 'EN'}",cryptopolitan,2024-10-04 21:55:33
34317674,https://cryptonews.com/?p=291620,1728079036,https://resources.cryptocompare.com/news/52/34317674.jpeg,Top Crypto Gainers Today on DEXTools –,https://cryptonews.com/news/top-crypto-gainers-today-on-dextools/,"Major cryptos are making a decent comeback on Friday, with the likes of Bitcoin (BTC), Ethereum (ETH) and Solana (SOL) rallying 2-5% per CoinMarketCap, though crypto degenerates continued to flock to the riskier on-chain DEX markets in their hunt for top crypto gainers today. The post Top Crypto Gainers Today on DEXTools – appeared first on Cryptonews .",Industry Talk|Altcoins|Cryptocurrency|Trading,EN,0,0,ALTCOIN|BTC|ETH|SOL|TRADING,"{'name': 'cryptonews', 'img': 'https://images.cryptocompare.com/news/default/cryptonews.png', 'lang': 'EN'}",cryptonews,2024-10-04 21:57:16
34317471,https://en.coinotag.com/ai-hallucinations-persist-challenges-and-innovations-in-chatbot-reliability-by-google/,1728079064,https://resources.cryptocompare.com/news/77/34317471.jpeg,AI Hallucinations Persist: Challenges and Innovations in Chatbot Reliability by Google,https://en.coinotag.com/ai-hallucinations-persist-challenges-and-innovations-in-chatbot-reliability-by-google/,"The burgeoning field of artificial intelligence is encountering challenges, as highlighted by declining AI-sector revenues in the second quarter of 2024, following decreased consumer enthusiasm for chatbots. A pivotal study",News,EN,0,0,OTHER,"{'name': 'CoinOtag', 'img': 'https://resources.cryptocompare.com/news/77/default.png', 'lang': 'EN'}",coinotag,2024-10-04 21:57:44
34317538,https://decrypt.co/?p=284746,1728079103,https://resources.cryptocompare.com/news/44/34317538.jpeg,How to Boost Your ‘X Empire’ Telegram Game Airdrop Before the Rewards Cutoff,https://decrypt.co/284746/boost-x-empire-telegram-game-airdrop,Elon Musk-themed Telegram game X Empire is doing one last rewards push before the airdrop. Here’s how to earn the most coins.,|Gaming,EN,0,0,AIRDROP,"{'name': 'Decrypt', 'img': 'https://images.cryptocompare.com/news/default/decrypt.png', 'lang': 'EN'}",decrypt,2024-10-04 21:58:23
34318200,https://thecoinrise.com/bitwise-files-to-convert-three-crypto-future-etfs/,1728079220,https://resources.cryptocompare.com/news/60/34318200.jpeg,Bitwise Files To Convert Three Crypto Future ETFs,https://thecoinrise.com/bitwise-files-to-convert-three-crypto-future-etfs/,Bitwise has filed an application to change the modalities of operation for three of its crypto ETF products in the US The post Bitwise Files To Convert Three Crypto Future ETFs appeared first on TheCoinrise.com .,Bitcoin News|Bitwise|Crypto ETF,EN,0,0,OTHER,"{'name': 'The Coin Rise', 'img': 'https://images.cryptocompare.com/news/default/thecoinrise.png', 'lang': 'EN'}",thecoinrise,2024-10-04 22:00:20
34318201,https://thecoinrise.com/3-best-presale-tokens-that-you-will-regret-not-buying-for-1000-returns-before-the-october-2024-bull-run/,1728079228,https://resources.cryptocompare.com/news/60/34318201.jpeg,"3 Best Presale Tokens That You Will Regret Not Buying for 1,000% Returns Before the October 2024 Bull Run",https://thecoinrise.com/3-best-presale-tokens-that-you-will-regret-not-buying-for-1000-returns-before-the-october-2024-bull-run/,"October has begun, and experts have released their list of the 3 best presale tokens for 1,000% returns: RCOF, DTX, and BlockDAG. The post 3 Best Presale Tokens That You Will Regret Not Buying for 1,000% Returns Before the October 2024 Bull Run appeared first on TheCoinrise.com .",Token Presale and ICO Insights|RCOF,EN,0,0,TRADING,"{'name': 'The Coin Rise', 'img': 'https://images.cryptocompare.com/news/default/thecoinrise.png', 'lang': 'EN'}",thecoinrise,2024-10-04 22:00:28
34317601,https://ambcrypto.com/?p=430045,1728079232,https://images.cryptocompare.com/news/default/ambcrypto.png,Ethereum whale sells 19K ETH : Is a deeper pullback on the way?,https://ambcrypto.com/ethereum-whale-sells-19k-eth-is-a-deeper-pullback-on-the-way/,"A recent whale dump has fueled fear, but a deeper pullback may signal a potential market bottom.",Altcoin|Ethereum|News|News 1|Social|Trading View,EN,0,0,ETH|ALTCOIN|MARKET,"{'name': 'AMB Crypto', 'img': 'https://images.cryptocompare.com/news/default/ambcrypto.png', 'lang': 'EN'}",ambcrypto,2024-10-04 22:00:32
34319008,https://timestabloid.com/?p=46432,1728079239,https://resources.cryptocompare.com/news/67/default.png,"WallitIQ (WLTQ) Presale Whitelist Is Almost Filled Up, Get In Now Before It Closes Forever",https://timestabloid.com/wallitiq-wltq-presale-whitelist-is-almost-filled-up-get-in-now/,"The WallitIQ (WLTQ) presale whitelist, which allows investors to enjoy huge benefits ahead of its public launch, is getting filled up fast as the crypto community invests in the future of DeFi wallets. Interested investors must join the presale whitelist now before it stops accepting applications and closes in a few days. WallitIQ (WLTQ) Champions The post WallitIQ (WLTQ) Presale Whitelist Is Almost Filled Up, Get In Now Before It Closes Forever appeared first on Times Tabloid .",Finance,EN,0,0,BUSINESS,"{'name': 'TimesTabloid', 'img': 'https://resources.cryptocompare.com/news/67/default.png', 'lang': 'EN'}",timestabloid,2024-10-04 22:00:39
