id,guid,published_on,imageurl,title,url,body,tags,lang,upvotes,downvotes,categories,source_info,source,date
34353497,https://www.newsbtc.com/?p=646367,1728160209,https://resources.cryptocompare.com/news/21/34353497.jpeg,"Ethereum ICO Participant Offloads 6,000 ETH As Bearish Sentiment Intensifies",https://www.newsbtc.com/news/ethereum/ethereum-ico-participant-offloads-6000-eth-as-bearish-sentiment-intensifies/,"According to data from CoinMarketCap, the price of Ethereum slipped by 10.23% over the last seven days in line with the general market negative movement. This crypto market downturn has been attributed to multiple factors including heightened geopolitical tensions in the Middle East and rising liquidations of long positions. While Ethereum has experienced some rebound in the last day gaining by 3.21%, investors remain uncertain of a full price recovery with bearish sentiments raving through the market. Notably, an Ethereum ICO participant has now sold off a substantial amount of ETH intensifying concerns of a prolonged downward trend. Related Reading: Ethereum At Risk Of Further Decline: Top Investor Sets $2,150 Target If Support Breaks Ethereum ICO Wallet Continues Selling Spree, Offloads 40,000 ETH In Two Weeks According to data from blockchain analytics firm, Lookonchain, an Ethereum wallet with the address “0xBF4” moved 6,000 ETH worth $14.11 million to the Kraken exchange on Friday. So far, the address has been identified as an early Ethereum investor who acquired 150,000 ETH valued at $368 million in the asset’s initial coin offering (ICO) in 2014. Data from Lookonchain highlights this is the second ETH sale by “0xBF4” in the last week after the ICO participant initially sold 19,000 ETH, valued at $47.54 million over Wednesday and Thursday. Notably, this ETH whale has transferred out 40,000 ETH worth $101 million since September 22, holding a balance of 99,500 ETH valued at $238 million. Generally, massive token offloads by large holders e.g. whales are interpreted as bearish signals as they indicate a lack of confidence in the asset’s long-term profitability. Sales such as those seen from “0xBF4” may trigger a panic selling from smaller investors inducing a stronger downward pressure on Ethereum’s price. Related Reading: Crypto Capo Returns After 2 Months To Predict Ethereum Decline To $1,800, Is It Time To Go Long? 108,000 ETH Moved To Exchanges In 24 Hours Aside from the wallet address “0xBF4”, other investors have recently sold off large amounts of ETH. According to analyst Ali Martinez, 108,000 ETH valued at $259.2 million have been transferred to exchanges in the last day. This massive sale activity indicates a heightened sentiment in the ETH market. Currently, Ethereum trades at $2,399 following its recent price rally. However, its daily trading volume has declined by 17.48% and is valued at $14.61 billion. If bearish sentiments persist, ETH could retrace to around $2,200 at which lies its next significant price level. However, amidst massive selling pressure, the altcoin could trade as low as $1,600. With a market cap of $291.40 billion, Ethereum continues to rank as the second largest cryptocurrency, with a market dominance of 13.47%. Featured image from NullTX, chart from Tradingview",Ethereum|ETH selloff|ethereum|ethusd|ETHUSDT|ICO participant,EN,0,0,ETH|TOKEN SALE|TRADING|ZRX|MARKET,"{'name': 'NewsBTC', 'img': 'https://images.cryptocompare.com/news/default/newsbtc.png', 'lang': 'EN'}",newsbtc,2024-10-05 20:30:09
34353615,https://dailyhodl.com/?p=304395,1728160488,https://images.cryptocompare.com/news/default/dailyhodl.png,"Banking Giant Paying $4,700,000 To Victims of Billion-Dollar Market Manipulation Scheme: US Department of Justice",https://dailyhodl.com/2024/10/05/banking-giant-paying-4700000-to-victims-of-billion-dollar-market-manipulation-scheme-us-department-of-justice/,"A group of US regulators including the Department of Justice (DOJ) is hitting a banking giant with a multi-million dollar fine to settle criminal charges that the firm defrauded the Treasury market. The DOJ says TD Bank’s registered broker-dealer, TD Securities, has accepted the terms of a deferred prosecution agreement (DPA) that charges the firm The post Banking Giant Paying $4,700,000 To Victims of Billion-Dollar Market Manipulation Scheme: US Department of Justice appeared first on The Daily Hodl .","Regulators|Scams, Hacks & Breaches|DOJ|Finra|News|SEC|TD Bank|TD Securities",EN,0,0,MARKET|REGULATION|FIAT,"{'name': 'The Daily Hodl', 'img': 'https://images.cryptocompare.com/news/default/dailyhodl.png', 'lang': 'EN'}",dailyhodl,2024-10-05 20:34:48
34353656,https://coingape.com/?p=219391,1728160579,https://images.cryptocompare.com/news/default/coingape.png,Why Is Len Sassaman Polymarket Odds Dropping Ahead HBO Satoshi Nakamoto Reveal?,https://coingape.com/why-is-len-sassaman-polymarket-odds-dropping-ahead-hbo-satoshi-nakamoto-reveal/,"Odds for Len Sassaman being the real Satoshi Nakamoto have dropped below 30% on Polymarket. However, this happened in the last few hours on Saturday. Before, the odds were overwhelming that Sassaman would be the most likely candidate to be unmasked as the entity behind the Bitcoin pseudonym Satoshi Nakamoto, with 55% of the bets. The post Why Is Len Sassaman Polymarket Odds Dropping Ahead HBO Satoshi Nakamoto Reveal? appeared first on CoinGape .",24/7 Cryptocurrency News|Bitcoin News,EN,0,0,BTC,"{'name': 'CoinGape', 'img': 'https://images.cryptocompare.com/news/default/coingape.png', 'lang': 'EN'}",coingape,2024-10-05 20:36:19
34353758,https://en.coin-turk.com/?p=168047,1728160803,https://resources.cryptocompare.com/news/79/34353758.jpeg,Solana’s Price Rises 1.88% Due to Market Rally,https://en.coin-turk.com/solanas-price-rises-1-88-due-to-market-rally/,Solana's price rose 1.88% due to a market rally. Increased Total Value Locked indicates renewed confidence in Solana. Continue Reading: Solana’s Price Rises 1.88% Due to Market Rally The post Solana’s Price Rises 1.88% Due to Market Rally appeared first on COINTURK NEWS .,Solana (SOL),EN,0,0,TRADING|SOL|MARKET,"{'name': 'CoinTurk News', 'img': 'https://resources.cryptocompare.com/news/79/default.png', 'lang': 'EN'}",cointurken,2024-10-05 20:40:03
34353778,https://coingape.com/?p=219395,1728160877,https://images.cryptocompare.com/news/default/coingape.png,Coinbase Reinforces Interlocutory Appeal In SEC Suit With Ripple Case,https://coingape.com/coinbase-reinforces-interlocutory-appeal-in-sec-suit-with-ripple-case/,"Referencing the SEC’s latest appeal, American cryptocurrency exchange Coinbase have requested that the court revisit its motion for interlocutory appeal. Notably, the US SEC may have shot itself in the leg by appealing Judge Analisa Torres’s July 13, 2024 ruling in favor of Ripple. Coinbase Seek to Probe Howey Test Clause According to the document The post Coinbase Reinforces Interlocutory Appeal In SEC Suit With Ripple Case appeared first on CoinGape .",24/7 Cryptocurrency News|Coinbase|US SEC,EN,0,0,EXCHANGE|REGULATION,"{'name': 'CoinGape', 'img': 'https://images.cryptocompare.com/news/default/coingape.png', 'lang': 'EN'}",coingape,2024-10-05 20:41:17
34353881,https://coincu.com/285800-what-do-analysts-think-about-qnt-ton-after-inspiring-qubetics-presale-numbers,1728161100,https://resources.cryptocompare.com/news/96/34353881.jpeg,What Do Analysts Think About Quant and Toncoin After Inspiring Qubetics Presale Numbers,https://coincu.com/285800-what-do-analysts-think-about-qnt-ton-after-inspiring-qubetics-presale-numbers,"Explore the hot presale crypto opportunities with Qubetics, along with the promising growth potential of Quant and Toncoin.",news|Press Releases|news|CMC|Quant|Qubetics|toncoin,EN,0,0,OTHER,"{'name': 'Coincu', 'img': 'https://resources.cryptocompare.com/news/96/default.png', 'lang': 'EN'}",coincu,2024-10-05 20:45:00
34354983,https://timestabloid.com/?p=46639,1728161122,https://resources.cryptocompare.com/news/67/default.png,"Qubetics Presale Hits $1 Million in 24 Hours, VET’s Supply Chain Solution Grows by 30%, and LINK Fuels $6 Billion DeFi Market",https://timestabloid.com/qubetics-presale-hits-1-million-in-24-hours-vets-supply-chain/,"What if you could turn a small investment into massive profits by entering a crypto project early? This is the promise many investors hope for when they look into presales. Over the years, coins like VeChain (VET) and Chainlink (LINK) have shown the power of blockchain to change industries. At present, Qubetics ($TICS) is gaining The post Qubetics Presale Hits $1 Million in 24 Hours, VET’s Supply Chain Solution Grows by 30%, and LINK Fuels $6 Billion DeFi Market appeared first on Times Tabloid .",Finance|News,EN,0,0,LINK|VET|MARKET|BLOCKCHAIN|BUSINESS,"{'name': 'TimesTabloid', 'img': 'https://resources.cryptocompare.com/news/67/default.png', 'lang': 'EN'}",timestabloid,2024-10-05 20:45:22
34353945,https://news.bitcoin.com/?p=675871,1728161194,https://resources.cryptocompare.com/news/14/34353945.jpeg,DC Circuit Court Rules Kalshi’s US Election Bets Legal,https://news.bitcoin.com/dc-circuit-court-rules-kalshis-us-election-bets-legal/,"This week, the U.S. Court of Appeals for the District of Columbia Circuit has ruled in favor of the predictions market Kalshi, allowing the commodities exchange to offer event contracts based on the outcome of U.S. congressional elections. Circuit Judge Millett’s opinion supports the legality of the contracts, dismissing claims of gaming or election gambling.",Legal|Circuit Judge Millett|Commodity Futures Trading Commission.|Congressional Control Contracts|election betting|election integrity|event contracts|Kalshi|legal ruling|Prediction Market|U.S. Court of Appeals,EN,0,0,REGULATION|EXCHANGE|MARKET,"{'name': 'Bitcoin.com', 'img': 'https://images.cryptocompare.com/news/default/bitcoincom.png', 'lang': 'EN'}",bitcoin.com,2024-10-05 20:46:34
34354062,https://thecoinrise.com/billionaire-mark-cuban-calls-out-sec-over-ftx-collapse/,1728161256,https://resources.cryptocompare.com/news/60/34354062.jpeg,Billionaire Mark Cuban Calls Out SEC Over FTX Collapse,https://thecoinrise.com/billionaire-mark-cuban-calls-out-sec-over-ftx-collapse/,American Billionaire Mark Cuban has taken his critic of the US SEC to a new level as he blamed the agency over FTX's collapse The post Billionaire Mark Cuban Calls Out SEC Over FTX Collapse appeared first on TheCoinrise.com .,Blockchain News|Mark Cuban|US SEC,EN,0,0,REGULATION,"{'name': 'The Coin Rise', 'img': 'https://images.cryptocompare.com/news/default/thecoinrise.png', 'lang': 'EN'}",thecoinrise,2024-10-05 20:47:36
34354063,https://cointelegraph.com/news/vitalik-buterin-donates-100-eth-roman-storm-defense-fund,1728161469,https://images.cryptocompare.com/news/default/cointelegraph.png,Vitalik Buterin donates 100 ETH to Roman Storm defense fund,https://cointelegraph.com/news/vitalik-buterin-donates-100-eth-roman-storm-defense-fund?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,The United States Office of Foreign Assets Control sanctioned the Tornado Cash mixer in 2022 — accusing it of facilitating money laundering.,Tornado Cash|Roman Storm|Buterin|Vitalik|Ethereum|coin mixers,EN,0,0,ETH,"{'name': 'CoinTelegraph', 'img': 'https://images.cryptocompare.com/news/default/cointelegraph.png', 'lang': 'EN'}",cointelegraph,2024-10-05 20:51:09
34354087,https://www.cryptointelligence.co.uk/?p=22554,1728161547,https://resources.cryptocompare.com/news/95/default.png,"Trump Ends SEC Memecoin Will Explode 19,000% Ahead of Exchange Listing, As SHIB and DOGE Lag",https://www.cryptointelligence.co.uk/trump-ends-sec-memecoin-will-explode-19000-ahead-of-exchange-listing-as-shib-and-doge-lag/,"Trump Ends SEC could turn early investors into multi-millionaires, like Shiba Inu (SHIB) and Dogecoin (DOGE) did. Trump Ends SEC (TRUMESEC), a new Solana memecoin that was launched today, is set to explode over 19,000% in price in the coming days. This is because TRUMESEC is set to soon be listed on numerous crypto exchanges, according to reports. This will give the Solana memecoin exposure to millions of additional investors, who will pour funds into the coin and drive its price up. Currently, Trump Ends SEC can only be purchased via Solana decentralized exchanges, like Jup.ag and Raydium.io, and early",Blockchain News|Crypto News Today,EN,0,0,SHIB|REGULATION|DOGE|EXCHANGE|SOL,"{'name': 'CryptoIntelligence', 'img': 'https://resources.cryptocompare.com/news/95/default.png', 'lang': 'EN'}",cryptointelligence,2024-10-05 20:52:27
34354287,https://ambcrypto.com/?p=430289,1728162025,https://images.cryptocompare.com/news/default/ambcrypto.png,Polygon-based Polymarket hits $2 billion in volumes after bets on ‘Satoshi’,https://ambcrypto.com/polygon-based-polymarket-hits-2-billion-in-volumes-after-bets-on-satoshi/,Month-to-date volumes on Polymarket have already surpassed $161 million.,News|News 1|Polygon|Social|Trading View|ambcrypto,EN,0,0,MATIC,"{'name': 'AMB Crypto', 'img': 'https://images.cryptocompare.com/news/default/ambcrypto.png', 'lang': 'EN'}",ambcrypto,2024-10-05 21:00:25
34354417,https://en.coinotag.com/exploring-the-future-of-ethereum-amid-legal-challenges-tornado-cashs-resilience-and-community-support/,1728162347,https://resources.cryptocompare.com/news/77/34354417.jpeg,Exploring the Future of Ethereum Amid Legal Challenges: Tornado Cash’s Resilience and Community Support,https://en.coinotag.com/exploring-the-future-of-ethereum-amid-legal-challenges-tornado-cashs-resilience-and-community-support/,The recent developments surrounding Tornado Cash highlight the ongoing tension between innovation in cryptocurrency and regulatory scrutiny. Ethereum co-founder Vitalik Buterin’s significant donations illustrate solidarity within the crypto community towards,Ethereum|News|ETH,EN,0,0,ETH|REGULATION,"{'name': 'CoinOtag', 'img': 'https://resources.cryptocompare.com/news/77/default.png', 'lang': 'EN'}",coinotag,2024-10-05 21:05:47
34356155,https://cryptonews.com/?p=291648,1728163248,https://resources.cryptocompare.com/news/52/34356155.jpeg,Billionaire Mark Cuban Blames SEC Leadership for FTX Debacle in Discussion with Harris’ Crypto Advisor,https://cryptonews.com/news/billionaire-mark-cuban-blames-sec-leadership-for-ftx-debacle-in-discussion-with-harris-crypto-advisor/,"Mark Cuban claims FTX’s collapse could have been avoided if the U.S. followed Japan’s regulatory framework, criticizing SEC Chair Gary Gensler’s approach. The post Billionaire Mark Cuban Blames SEC Leadership for FTX Debacle in Discussion with Harris’ Crypto Advisor appeared first on Cryptonews .",Price Analysis|Altcoins|Cryptocurrency,EN,0,0,REGULATION|ALTCOIN|ASIA,"{'name': 'cryptonews', 'img': 'https://images.cryptocompare.com/news/default/cryptonews.png', 'lang': 'EN'}",cryptonews,2024-10-05 21:20:48
